id,name,size,methods,classes,fields,instructions,tests
03,initial,10223818,29777,3657,10195,456792,903
03,initial+jreduce,3638351,11451,1431,3757,156832,903
03,initial+inliner,8097553,29777,3657,10195,460945,897
03,initial+jshrink,9877465,29546,3616,10103,494762,0
03,initial+jreduce+inliner,2903612,11451,1431,3757,159889,897
03,initial+jreduce+jshrink,3408338,11286,1404,3695,186747,0
03,initial+jreduce+inliner+jshrink,2839696,11287,1404,3695,188253,0
05,initial,467347,1036,180,422,20807,1050
05,initial+jreduce,466332,1034,178,413,20801,1050
05,initial+inliner,370050,1036,180,422,21620,1050
05,initial+jshrink,321741,880,180,362,30536,1050
05,initial+jreduce+inliner,370210,1034,178,413,21810,1050
05,initial+jreduce+jshrink,321486,880,178,362,30536,1050
05,initial+jreduce+inliner+jshrink,322442,880,178,362,30846,1050
06,initial,39107,98,10,55,2312,61
06,initial+jreduce,39107,98,10,55,2312,61
06,initial+inliner,33275,98,10,55,2337,61
06,initial+jshrink,29982,90,10,42,3446,61
06,initial+jreduce+inliner,33670,98,10,55,2416,61
06,initial+jreduce+jshrink,29982,90,10,42,3446,61
06,initial+jreduce+inliner+jshrink,30330,90,10,42,3527,61
07,initial,1393364,3586,516,1599,78102,9
07,initial+jreduce,1308766,3385,481,1495,74306,9
07,initial+inliner,1138315,3586,516,1599,79756,9
07,initial+jshrink,1391077,3582,516,1599,78240,9
07,initial+jreduce+inliner,1070194,3385,481,1495,75842,9
07,initial+jreduce+jshrink,1306479,3381,481,1495,74444,9
07,initial+jreduce+inliner+jshrink,1069525,3381,481,1495,75974,9
11,initial,796625,2139,391,494,24405,1065
11,initial+jreduce,791601,2123,386,489,24282,1065
11,initial+inliner,621480,2139,391,494,24727,1065
11,initial+jshrink,796625,2139,391,494,24405,1065
11,initial+jreduce+inliner,614733,2123,386,489,24234,1065
11,initial+jreduce+jshrink,791601,2123,386,489,24282,1065
11,initial+jreduce+inliner+jshrink,614733,2123,386,489,24234,1065
12,initial,69400,235,21,81,3683,163
12,initial+jreduce,69400,235,21,81,3683,163
12,initial+inliner,55645,235,21,81,3760,163
12,initial+jshrink,47842,209,21,45,5157,163
12,initial+jreduce+inliner,55645,235,21,81,3760,163
12,initial+jreduce+jshrink,47842,209,21,45,5157,163
12,initial+jreduce+inliner+jshrink,47817,209,21,45,5117,163
13,initial,1111508,2977,368,976,56129,34
13,initial+jreduce,579717,1697,188,416,31542,34
13,initial+inliner,907058,2977,368,976,57185,34
13,initial+jshrink,834149,2804,355,862,82394,32
13,initial+jreduce+inliner,476286,1697,188,416,32238,34
13,initial+jreduce+jshrink,443217,1607,177,407,45863,0
13,initial+jreduce+inliner+jshrink,442940,1608,177,407,45759,0
15,initial,9435019,24730,2958,6881,422843,105
15,initial+jreduce,6628677,17365,2002,4965,324459,105
15,initial+inliner,9435019,24730,2958,6881,422843,105
15,initial+jshrink,9383092,24692,2957,6869,426154,8
15,initial+jreduce+inliner,5182990,17365,2002,4965,327474,105
15,initial+jreduce+jshrink,6581739,17328,2002,4953,327686,6
15,initial+jreduce+inliner+jshrink,5172208,17328,2002,4953,330597,6
16,initial,129241,355,89,31,7453,493
16,initial+jreduce,128423,352,88,31,7438,493
16,initial+inliner,95470,355,89,31,7421,493
16,initial+jshrink,81276,297,89,25,10073,493
16,initial+jreduce+inliner,94903,352,88,31,7408,493
16,initial+jreduce+jshrink,80783,295,88,25,10052,493
16,initial+jreduce+inliner+jshrink,80582,295,88,25,9904,493
17,initial,29296012,79033,8676,29024,1450278,11
17,initial+jreduce,8490060,20533,1999,6776,494949,11
17,initial+inliner,23353555,79033,8676,29024,1457313,11
17,initial+jshrink,29225841,78950,8672,29002,1455925,10
17,initial+jreduce+inliner,6909185,20533,1999,6776,500369,11
17,initial+jreduce+jshrink,8472057,20517,1998,6766,497207,3
17,initial+jreduce+inliner+jshrink,6907440,20517,1998,6766,502622,3
19,initial,234685,524,42,187,11156,337
19,initial+jreduce,234685,524,42,187,11156,337
19,initial+inliner,191260,524,42,187,11559,337
19,initial+jshrink,186264,484,42,186,15922,333
19,initial+jreduce+inliner,191260,524,42,187,11559,337
19,initial+jreduce+jshrink,186264,484,42,186,15922,333
19,initial+jreduce+inliner+jshrink,177943,483,42,186,15880,333
21,initial,91499,206,35,68,3257,19
21,initial+jreduce,30586,64,11,32,1326,19
21,initial+inliner,75337,206,35,68,3297,19
21,initial+jshrink,65039,168,33,53,4628,19
21,initial+jreduce+inliner,25094,64,11,32,1384,19
21,initial+jreduce+jshrink,22113,55,11,20,1854,19
21,initial+jreduce+inliner+jshrink,22331,55,11,20,1902,19
